#nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en
110,C,大区分C,Broad Section C,119,20,中区分20:機械力学、ロボティクスおよびその関連分野,"Medium-sized Section 20:Mechanical dynamics, robotics, and related fields",120,20010,小区分20010:機械力学およびメカトロニクス関連,Basic Section 20010:Mechanics and mechatronics-related
110,C,大区分C,Broad Section C,119,20,中区分20:機械力学、ロボティクスおよびその関連分野,"Medium-sized Section 20:Mechanical dynamics, robotics, and related fields",121,20020,小区分20020:ロボティクスおよび知能機械システム関連,Basic Section 20020:Robotics and intelligent system-related
110,C,大区分C,Broad Section C,122,21,中区分21:電気電子工学およびその関連分野,Medium-sized Section 21:Electrical and electronic engineering and related fields,123,21010,小区分21010:電力工学関連,Basic Section 21010:Power engineering-related
110,C,大区分C,Broad Section C,122,21,中区分21:電気電子工学およびその関連分野,Medium-sized Section 21:Electrical and electronic engineering and related fields,124,21020,小区分21020:通信工学関連,Basic Section 21020:Communication and network engineering-related
110,C,大区分C,Broad Section C,122,21,中区分21:電気電子工学およびその関連分野,Medium-sized Section 21:Electrical and electronic engineering and related fields,125,21030,小区分21030:計測工学関連,Basic Section 21030:Measurement engineering-related
110,C,大区分C,Broad Section C,122,21,中区分21:電気電子工学およびその関連分野,Medium-sized Section 21:Electrical and electronic engineering and related fields,126,21040,小区分21040:制御およびシステム工学関連,Basic Section 21040:Control and system engineering-related
110,C,大区分C,Broad Section C,122,21,中区分21:電気電子工学およびその関連分野,Medium-sized Section 21:Electrical and electronic engineering and related fields,127,21050,小区分21050:電気電子材料工学関連,Basic Section 21050:Electric and electronic materials-related
110,C,大区分C,Broad Section C,122,21,中区分21:電気電子工学およびその関連分野,Medium-sized Section 21:Electrical and electronic engineering and related fields,128,21060,小区分21060:電子デバイスおよび電子機器関連,Basic Section 21060:Electron device and electronic equipment-related
110,C,大区分C,Broad Section C,129,22,中区分22:土木工学およびその関連分野,Medium-sized Section 22:Civil engineering and related fields,130,22010,小区分22010:土木材料、施工および建設マネジメント関連,"Basic Section 22010:Civil engineering material, execution and construction management-related"
110,C,大区分C,Broad Section C,129,22,中区分22:土木工学およびその関連分野,Medium-sized Section 22:Civil engineering and related fields,131,22020,小区分22020:構造工学および地震工学関連,Basic Section 22020:Structure engineering and earthquake engineering-related
110,C,大区分C,Broad Section C,129,22,中区分22:土木工学およびその関連分野,Medium-sized Section 22:Civil engineering and related fields,132,22030,小区分22030:地盤工学関連,Basic Section 22030:Geotechnical engineering-related
110,C,大区分C,Broad Section C,129,22,中区分22:土木工学およびその関連分野,Medium-sized Section 22:Civil engineering and related fields,133,22040,小区分22040:水工学関連,Basic Section 22040:Hydroengineering-related
110,C,大区分C,Broad Section C,129,22,中区分22:土木工学およびその関連分野,Medium-sized Section 22:Civil engineering and related fields,134,22050,小区分22050:土木計画学および交通工学関連,Basic Section 22050:Civil engineering plan and transportation engineering-related
110,C,大区分C,Broad Section C,129,22,中区分22:土木工学およびその関連分野,Medium-sized Section 22:Civil engineering and related fields,135,22060,小区分22060:土木環境システム関連,Basic Section 22060:Environmental systems for civil engineering-related
110,C,大区分C,Broad Section C,136,23,中区分23:建築学およびその関連分野,"Medium-sized Section 23:Architecture, building engineering, and related fields",137,23010,小区分23010:建築構造および材料関連,Basic Section 23010:Building structures and materials-related
110,C,大区分C,Broad Section C,136,23,中区分23:建築学およびその関連分野,"Medium-sized Section 23:Architecture, building engineering, and related fields",138,23020,小区分23020:建築環境および建築設備関連,Basic Section 23020:Architectural environment and building equipment-related
110,C,大区分C,Broad Section C,136,23,中区分23:建築学およびその関連分野,"Medium-sized Section 23:Architecture, building engineering, and related fields",139,23030,小区分23030:建築計画および都市計画関連,Basic Section 23030:Architectural planning and city planning-related
110,C,大区分C,Broad Section C,136,23,中区分23:建築学およびその関連分野,"Medium-sized Section 23:Architecture, building engineering, and related fields",140,23040,小区分23040:建築史および意匠関連,Basic Section 23040:Architectural history and design-related
110,C,大区分C,Broad Section C,136,23,中区分23:建築学およびその関連分野,"Medium-sized Section 23:Architecture, building engineering, and related fields",11,90010,小区分90010:デザイン学関連,Basic Section 90010:Design-related
110,C,大区分C,Broad Section C,141,24,中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,"Medium-sized Section 24:Aerospace engineering, marine and maritime engineering, and related fields",142,24010,小区分24010:航空宇宙工学関連,Basic Section 24010:Aerospace engineering-related
110,C,大区分C,Broad Section C,141,24,中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,"Medium-sized Section 24:Aerospace engineering, marine and maritime engineering, and related fields",143,24020,小区分24020:船舶海洋工学関連,Basic Section 24020:Marine engineering-related
110,C,大区分C,Broad Section C,144,25,中区分25:社会システム工学、安全工学、防災工学およびその関連分野,"Medium-sized Section 25:Social systems engineering, safety engineering, disaster prevention engineering, and related fields",145,25010,小区分25010:社会システム工学関連,Basic Section 25010:Social systems engineering-related
110,C,大区分C,Broad Section C,144,25,中区分25:社会システム工学、安全工学、防災工学およびその関連分野,"Medium-sized Section 25:Social systems engineering, safety engineering, disaster prevention engineering, and related fields",146,25020,小区分25020:安全工学関連,Basic Section 25020:Safety engineering-related
110,C,大区分C,Broad Section C,144,25,中区分25:社会システム工学、安全工学、防災工学およびその関連分野,"Medium-sized Section 25:Social systems engineering, safety engineering, disaster prevention engineering, and related fields",147,25030,小区分25030:防災工学関連,Basic Section 25030:Disaster prevention engineering-related
