#nii_code,mext_code,jsps_code,name_ja,name_en,name_yomi
0027101,27101,27101,北九州市立大学,The University of Kitakyushu,キタキュウシュウシリツダイガク
0027102,27102,27102,九州歯科大学,Kyushu Dental College,キュウシュウシカダイガク
0024301,24301,24301,京都市立芸術大学,Kyoto City University of Arts,キョウトシリツゲイジュツダイガク
0024303,24303,24303,京都府立医科大学,Kyoto Prefectural University of Medicine,キョウトフリツイカダイガク
0024302,24302,24302,京都府立大学,Kyoto Prefectural University,キョウトフリツダイガク
0023702,23702,23702,岐阜県立看護大学,Gifu College of Nursing,ギフケンリツカンゴダイガク
0023701,23701,23701,岐阜薬科大学,Gifu Pharmaceutical University,ギフヤッカダイガク
0020102,20102,20102,釧路公立大学,Kushiro Public University of Economics,クシロコウリツダイガク
0027401,27401,27401,熊本県立大学,Prefectural University of Kumamoto,クマモトケンリツダイガク
0022304,22304,22304,群馬県立県民健康科学大学,Gunma Prefectural College of Health Sciences,グンマケンリツケンミンケンコウカガクダイガク
0022302,22302,22302,群馬県立女子大学,Gunma Prefectural Women's University,グンマケンリツジョシダイガク
0025406,25406,25406,県立広島大学,Prefectural University of Hiroshima,ケンリツヒロシマダイガク
0126401,26401,26401,高知県立大学,University of Kochi,コウチケンリツダイガク
0026402,26402,26402,高知工科大学,Kochi University of Technology,コウチコウカダイガク
0024505,24505,24505,神戸市看護大学,Kobe City College of Nursing,コウベシカンゴダイガク
0024501,24501,24501,神戸市外国語大学,Kobe City University of Foreign Studies,コウベシガイコクゴダイガク
382919,23304,,公立小松大学,Komatsu University,コウリウコマツダイガク
382936,23604,,公立諏訪東京理科大学,Suwa University of Science,コウリツスワトウキョウリカダイガク
382999,20106,,公立千歳科学技術大学,Chitose Institute of Science and Technology,コウリツチトセカガクギジュツダイガク
0020103,20103,20103,公立はこだて未来大学,Future University-Hakodate,コウリツハコダテミライダイガク
0021402,21402,21402,国際教養大学,Akita International University,コクサイキョウヨウダイガク
0022401,22401,22401,埼玉県立大学,Saitama Prefectural University,サイタマケンリツダイガク
0020101,20101,20101,札幌医科大学,Sapporo Medical University,サッポロイカダイガク
0020105,20105,20105,札幌市立大学,Sapporo City University,サッポロシリツダイガク
0025503,25503,25503,山陽小野田市立山口東京理科大学,"Tokyo University of Science, Yamaguchi",サンヨウオノダシリツヤマグチリカダイガク
0024201,24201,24201,滋賀県立大学,The University of Shiga Prefecture,シガケンリツダイガク
0023803,23803,23803,静岡県立大学,University of Shizuoka,シズオカケンリツダイガク
383084,23805,,静岡県立農林環境専門職大学,Shizuoka Professional University of Agriculture,シズオカケンリツノウリンセンモンショクダイガク
0023804,23804,23804,静岡文化芸術大学,Shizuoka University of Art and Culture,シズオカブンカゲイジュツダイガク
0025201,25201,25201,島根県立大学,The University of Shimane,シマネケンリツダイガク
0025501,25501,25501,下関市立大学,Shimonoseki City University,シモノセキシリツダイガク
0023703,23703,23703,情報科学芸術大学院大学,Institute of Advanced Media Arts and Sciences,ジョウホウカガクゲイジュツダイガクインダイガク
0022301,22301,22301,高崎経済大学,Takasaki City University of Economics,タカサキケイザイダイガク
0022501,22501,22501,千葉県立保健医療大学,Chiba Prefectural University of Health Sciences,チバケンリツホケンイリョウダイガク
0023402,23402,23402,敦賀市立看護大学,Tsuruga Nursing University,ツルガシリツカンゴダイガク
0023501,23501,23501,都留文科大学,Tsuru University,ツルブンカダイガク
383076,22605,22605,東京都立産業技術大学院大学,Advanced Institute of Industrial Technology,トウキョウトサンギョウギジュツダイガクインダイガク
383075,22604,22604,東京都立大学,Tokyo Metropolitan University,トウキョウトリツダイガク
0025101,25101,25101,公立鳥取環境大学,Tottori University of Environmental Studies,トットリカンキョウダイガク
0023201,23201,23201,富山県立大学,Toyama Prefectural University,トヤマケンリツダイガク
0023103,23103,23103,長岡造形大学,Nagaoka Institute of Design,ナガオカゾウケイダイガク
